feature_symbol,tier,in_core_spec,in_runtime_code,core_source_kinds,runtime_groups,runtime_first_evidence,runtime_test_presence,lean_status,lean_evidence,lean_decl_anchor,coverage_status
let*,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:546,no,present,"/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/PeTTa/StdLib.lean:210:    left        := .apply ""let*"" [.collection .vec [] none, .fvar ""body""]",/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/PeTTa/StdLib.lean:206:def letStarBaseRule,extension_mapped_in_lean
log-math,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:155,no,absent,,,extension_runtime_only
map-atom,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:467,yes,absent,,,extension_runtime_only
match,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1050,yes,present,"/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/TransitionSpec.lean:90:  else if ruleName.contains ""Mismatch"" || ruleName.contains ""Match"" then ""match""",/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/TransitionSpec.lean:87:def guardFamilyFor,extension_mapped_in_lean
match-type-or,extension,no,yes,,stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:435,no,absent,,,extension_runtime_only
match-types,extension,no,yes,,stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:405,no,absent,,,extension_runtime_only
match_atoms,core,yes,no,algorithm_name,,,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Matching.lean:39:def matchAtoms,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Matching.lean:39:def matchAtoms,core_implemented
match_types,core,yes,no,algorithm_name,,,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Matching.lean:182:def matchTypes,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Matching.lean:182:def matchTypes,core_implemented
max-atom,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:117,no,absent,,,extension_runtime_only
merge_bindings,core,yes,no,algorithm_name,,,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Matching.lean:103:def mergeBindings,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Matching.lean:103:def mergeBindings,core_implemented
metta,core,yes,yes,algorithm_name;minimal_instruction,engine_const;stdlib_decl;stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/mod.rs:46,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/TransitionSpec.lean:64:def sourceInstrClassFor,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/TransitionSpec.lean:64:def sourceInstrClassFor,core_implemented
metta_call,core,yes,no,algorithm_name,,,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Interpreter.lean:256:def mettaCall,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Interpreter.lean:256:def mettaCall,core_implemented
min-atom,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:111,no,absent,,,extension_runtime_only
mod-space!,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1064,no,absent,,,extension_runtime_only
module-space-no-deps,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1070,no,absent,,,extension_runtime_only
new-das!,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/das.metta:1,yes,absent,,,extension_runtime_only
new-random-generator,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/random.metta:24,no,absent,,,extension_runtime_only
new-space,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1008,no,absent,,,extension_runtime_only
new-state,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1026,no,absent,,,extension_runtime_only
noeval,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:265,yes,absent,,,extension_runtime_only
nop,extension,no,yes,,stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:610,no,absent,,,extension_runtime_only
noreduce-eq,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:960,no,absent,,,extension_runtime_only
not,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:529,no,present,"/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Conformance.lean:415:          (.expression [.symbol ""False"", .symbol ""not"", .symbol ""True""]), emptyB)] := rfl",/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Conformance.lean:412:theorem extension_assert_false_error,extension_mapped_in_lean
or,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:515,yes,present,"/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Premises.lean:651:      | .apply ""or"" [], some b1, some b2 => [[op, lhs, rhs, patternOfBoolSym (b1 || b2)]]",/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Premises.lean:643:def groundedCallTuples,extension_mapped_in_lean
pow-math,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:136,no,absent,,,extension_runtime_only
pragma!,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1241,no,absent,,,extension_runtime_only
print-mods!,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1076,no,absent,,,extension_runtime_only
println!,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1279,no,absent,,,extension_runtime_only
quote,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:592,yes,present,"/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Types.lean:213:  | some (.symbol ""Quote"") => false  -- Don't evaluate quotes",/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Types.lean:208:def shouldEvaluate,extension_mapped_in_lean
random-float,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/random.metta:9,no,absent,,,extension_runtime_only
random-int,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/random.metta:1,no,absent,,,extension_runtime_only
register-module!,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1058,no,absent,,,extension_runtime_only
remove-atom,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1013,no,present,"/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/RewriteRules.lean:81:    | .expression [.symbol ""remove-atom"", _, atom] =>",/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/RewriteRules.lean:77:def ruleRemAtom,extension_mapped_in_lean
reset-random-generator,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/random.metta:30,no,absent,,,extension_runtime_only
